resource_name,resource_type,group_name,status
PAY001,TRANSACTION,PAYGRP,ENABLED
PAY002,TRANSACTION,PAYGRP,ENABLED
PAY003,TRANSACTION,PAYGRP,DISABLED
PAYPROG,PROGRAM,PAYGRP,ENABLED
PAYCALC,PROGRAM,PAYGRP,ENABLED
PAYEDIT,PROGRAM,PAYGRP,ENABLED
PAYFILE,FILE,PAYGRP,ENABLED
PAYHIST,FILE,PAYGRP,ENABLED
PAYMAP,MAPSET,PAYGRP,ENABLED
BILL001,TRANSACTION,BILLGRP,ENABLED
BILL002,TRANSACTION,BILLGRP,ENABLED
BILLPROG,PROGRAM,BILLGRP,ENABLED
BILLEDIT,PROGRAM,BILLGRP,ENABLED
BILLFILE,FILE,BILLGRP,ENABLED
BILLMAP,MAPSET,BILLGRP,ENABLED
CUST001,TRANSACTION,CUSTGRP,ENABLED
CUST002,TRANSACTION,CUSTGRP,ENABLED
CUSTPROG,PROGRAM,CUSTGRP,ENABLED
CUSTEDIT,PROGRAM,CUSTGRP,ENABLED
CUSTFILE,FILE,CUSTGRP,ENABLED
CUSTMAP,MAPSET,CUSTGRP,ENABLED
INV001,TRANSACTION,INVGRP,ENABLED
INVPROG,PROGRAM,INVGRP,ENABLED
INVFILE,FILE,INVGRP,ENABLED
INVMAP,MAPSET,INVGRP,ENABLED
OLD001,TRANSACTION,OLDGRP,DISABLED
OLDPROG,PROGRAM,OLDGRP,DISABLED
