dataset_name,creation_date,last_referenced,size_mb,volume,dataset_type
PROD.PAYROLL.MASTER,2023-01-01,2024-03-15,1024.50,VOL001,VSAM
PROD.PAYROLL.TRANS,2023-01-01,2024-03-15,512.25,VOL001,VSAM
PROD.PAYROLL.HISTORY,2023-01-01,2024-02-28,2048.75,VOL002,VSAM
PROD.BILLING.MASTER,2023-06-01,2024-03-14,768.00,VOL001,VSAM
PROD.BILLING.TRANS,2023-06-01,2024-03-14,384.50,VOL001,VSAM
PROD.BILLING.ARCHIVE,2023-06-01,2024-01-15,1536.25,VOL003,PS
PROD.CUSTOMER.MASTER,2023-03-15,2024-03-10,640.75,VOL001,VSAM
PROD.CUSTOMER.BACKUP,2023-03-15,2024-03-01,640.75,VOL002,PS
PROD.INVOICE.DATA,2023-09-01,2024-03-12,896.00,VOL001,VSAM
PROD.INVOICE.PRINT,2023-09-01,2024-03-12,128.50,VOL001,PS
PROD.REPORTS.OUTPUT,2024-01-01,2024-03-15,256.25,VOL002,PS
PROD.TEMP.WORK01,2024-03-15,2024-03-15,50.00,VOL004,PS
TEST.PAYROLL.DATA,2024-01-15,2024-03-10,256.00,VOL005,VSAM
TEST.BILLING.DATA,2024-02-01,2024-03-08,192.50,VOL005,VSAM
DEV.PAYROLL.TEST,2024-03-01,2024-03-14,128.00,VOL006,PS
DEV.BILLING.TEST,2024-03-05,2024-03-13,96.25,VOL006,PS
PROD.BACKUP.DAILY.G0001V00,2024-03-14,2024-03-14,512.00,VOL003,GDG
PROD.BACKUP.DAILY.G0002V00,2024-03-15,2024-03-15,512.00,VOL003,GDG
PROD.ARCHIVE.OLD,2022-01-01,2022-12-31,4096.00,VOL007,PS
PROD.LEGACY.DATA,2020-01-01,2021-06-30,2048.00,VOL008,VSAM
