object_type,schema_name,object_name,create_date,status
TABLE,PROD,EMPLOYEE,2023-01-15,AVAILABLE
TABLE,PROD,DEPARTMENT,2023-01-15,AVAILABLE
TABLE,PROD,PAYROLL,2023-01-20,AVAILABLE
TABLE,PROD,TIMECARD,2023-01-20,AVAILABLE
TABLE,PROD,CUSTOMER,2023-02-10,AVAILABLE
TABLE,PROD,ORDERS,2023-02-15,AVAILABLE
TABLE,PROD,INVOICE,2023-03-01,AVAILABLE
TABLE,PROD,PAYMENT,2023-03-05,AVAILABLE
VIEW,PROD,EMP_SUMMARY,2023-02-20,AVAILABLE
VIEW,PROD,DEPT_SUMMARY,2023-02-20,AVAILABLE
VIEW,PROD,PAY_SUMMARY,2023-03-10,AVAILABLE
VIEW,PROD,CUST_ORDERS,2023-03-15,AVAILABLE
INDEX,PROD,EMP_IDX1,2023-01-15,AVAILABLE
INDEX,PROD,DEPT_IDX1,2023-01-15,AVAILABLE
INDEX,PROD,PAY_IDX1,2023-01-20,AVAILABLE
INDEX,PROD,CUST_IDX1,2023-02-10,AVAILABLE
PROCEDURE,PROD,UPDATE_SALARY,2023-03-10,AVAILABLE
PROCEDURE,PROD,CALC_BONUS,2023-03-12,AVAILABLE
PROCEDURE,PROD,PROCESS_ORDER,2023-03-20,AVAILABLE
FUNCTION,PROD,GET_EMPLOYEE_NAME,2023-04-01,AVAILABLE
FUNCTION,PROD,CALC_TAX,2023-04-05,AVAILABLE
TRIGGER,PROD,AUDIT_SALARY_CHG,2023-05-01,AVAILABLE
TRIGGER,PROD,AUDIT_ORDER_CHG,2023-05-10,AVAILABLE
TABLE,TEST,EMPLOYEE_TEST,2024-01-10,AVAILABLE
TABLE,TEST,PAYROLL_TEST,2024-01-15,AVAILABLE
VIEW,TEST,EMP_TEST_VIEW,2024-01-20,AVAILABLE
