member_name,library_name,last_modified,size_lines
PAYROLL1,PROD.JCL.LIB,2024-01-15,250
PAYROLL2,PROD.JCL.LIB,2024-01-20,180
BILLING1,PROD.JCL.LIB,2024-02-10,320
BILLING2,PROD.JCL.LIB,2024-02-15,275
CUSTOMER,PROD.JCL.LIB,2024-03-01,150
INVOICE,PROD.JCL.LIB,2024-03-05,200
BACKUP,PROD.JCL.BACKUP,2023-12-01,100
RESTORE,PROD.JCL.BACKUP,2023-12-15,120
TESTPAY,TEST.JCL.LIB,2024-02-20,180
TESTBILL,TEST.JCL.LIB,2024-02-25,160
DEVPAY,DEV.JCL.LIB,2024-03-10,140
DEVBILL,DEV.JCL.LIB,2024-03-12,130
YEAREND,PROD.JCL.LIB,2023-12-31,500
MONTHEND,PROD.JCL.LIB,2024-02-29,450
DAILYBAT,PROD.JCL.LIB,2024-03-15,80
