program_name,library_name,link_date,size_bytes,entry_point
PAYROLL,PROD.LOADLIB,2024-01-10,524288,PAYROLL
PAYCALC,PROD.LOADLIB,2024-01-10,262144,PAYCALC
PAYEDIT,PROD.LOADLIB,2024-01-12,131072,PAYEDIT
BILLING,PROD.LOADLIB,2024-02-15,458752,BILLING
BILLEDIT,PROD.LOADLIB,2024-02-15,196608,BILLEDIT
BILLRPT,PROD.LOADLIB,2024-02-16,327680,BILLRPT
CUSTOMER,PROD.LOADLIB,2024-03-01,393216,CUSTOMER
CUSTEDIT,PROD.LOADLIB,2024-03-01,163840,CUSTEDIT
INVOICE,PROD.LOADLIB,2024-03-05,294912,INVOICE
INVPRINT,PROD.LOADLIB,2024-03-05,229376,INVPRINT
CICSPAY,PROD.CICS.LOADLIB,2024-01-15,196608,CICSPAY
CICSBILL,PROD.CICS.LOADLIB,2024-02-20,229376,CICSBILL
CICSCUST,PROD.CICS.LOADLIB,2024-03-02,163840,CICSCUST
DB2PAY,PROD.DB2.LOADLIB,2024-01-18,262144,DB2PAY
DB2BILL,PROD.DB2.LOADLIB,2024-02-22,294912,DB2BILL
TESTPAY,TEST.LOADLIB,2024-02-25,524288,TESTPAY
TESTBILL,TEST.LOADLIB,2024-03-01,458752,TESTBILL
